Title,Code
Concrete,03
Masonry,04
Metals,05
WoodPlasticsAndComposites,06
ThermalAndMoistureProtection,07
Finishes,09
Openings,08
Earthwork,31
ExteriorImprovements,32
Concrete Forming and Accessories,03 10  
Concrete Reinforcing,03 20  
Cast-in-Place Concrete,03 30  
Precast Concrete,03 40  
Cast Decks and Underlayment,03 50 
Grouting ,03 60 
Mass Concrete,03 70 
Concrete Cutting and Boring,03 80 
Common Work Results for Masonry,04 05 
Unit Masonry,04 20 
Stone Assemblies,04 40 
Refractory Masonry,04 50 
Corrosion-Resistant Masonry ,04 60 
Manufactured Masonry,04 70 
Structural Metal Framing,05 10 
Metal Joists,05 20 
Metal Decking,05 30 
Cold-Formed Metal Framing,05 40 
Metal Fabrications,05 50 
Decorative Metal,05 70 
Rough Carpentry,06 10 
Finish Carpentry,06 20 
Architectural Woodwork,06 40 
Structural Plastics,06 50 
Plastic Fabrications,06 60 
Structural Composites,06 70 
Composite Fabrications,06 80 
Dampproofing and Waterproofing,07 10 
Thermal Protection,07 20 
Weather Barriers,07 25 
Steep Slope Roofing,07 30 
Roofing and Siding Panels,07 40 
Membrane Roofing,07 50 
Flashing and Sheet Metal,07 60 
Roof and Wall Specialties and Accessories ,07 70 
Fire and Smoke Protection,07 80 
Joint Protection,07 90 
Doors and Frames,08 10 
Specialty Doors and Frames,08 30 
"Entrances, Storefronts, and Curtain Walls ",08 40 
Windows,08 50 
Roof Windows and Skylights,08 60 
Hardware,08 70 
Glazing,08 80 
Louvers and Vents,08 90 
Plaster and Gypsum Board,09 20 
Tiling ,09 30 
Ceilings ,09 50 
Flooring ,09 60 
Wall Finishes ,09 70 
Acoustic Treatment ,09 80 
Painting and Coating ,09 90 
Site Clearing,31 10 
Earth Moving,31 20 
Earthwork Methods,31 30 
Shoring and Underpinning,31 40 
Excavation Support and Protection,31 50 
Special Foundations and Load-Bearing Elements,31 60 
Tunneling and Mining,31 70 
"Bases, Ballasts, and Paving",32 10 
Site Improvements,32 30 
Wetlands,32 70 
Irrigation,32 80 
Planting,32 90 
Concrete Forming,03 11 
Concrete Accessories,03 15 
Reinforcement Bars,03 21 
Fabric and Grid Reinforcing,03 22 
Stressed Tendon Reinforcing,03 23 
Fibrous Reinforcing,03 24 
Composite Reinforcing,03 25 
Structural Concrete,03 31 
Architectural Concrete,03 33 
Low Density Concrete,03 34 
Concrete Finishing,03 35 
Specialty Placed Concrete,03 37 
Post-Tensioned Concrete,03 38 
Concrete Curing,03 39 
Precast Structural Concrete,03 41 
Precast Architectural Concrete,03 45 
Site-Cast Concrete,03 47 
Precast Concrete Specialties,03 48 
Glass-Fiber-Reinforced Concrete,03 49 
Cast Roof Decks,03 51 
Lightweight Concrete Roof Insulation,03 52 
Concrete Topping,03 53 
Cast Underlayment,03 54 
Cementitious Grouting,03 61 
Non-Shrink Grouting,03 62 
Epoxy Grouting,03 63 
Injection Grouting,03 64 
Mass Concrete for Raft Foundations,03 71 
Mass Concrete for Dams,03 72 
Concrete Cutting,03 81 
Concrete Boring,03 82 
Selective Demolition for Masonry,04 05 05
Masonry Mortaring,04 05 13
Masonry Grouting,04 05 16
Masonry Anchorage and Reinforcing,04 05 19
Masonry Strengthening,04 05 21
Masonry Accessories,04 05 23
Clay Unit Masonry,04 21 
Concrete Unit Masonry,04 22 
Glass Unit Masonry,04 23 
Adobe Unit Masonry,04 24 
Unit Masonry Panels,04 25 
Single-Wythe Unit Masonry,04 26 
Multiple-Wythe Unit Masonry,04 27 
Concrete Form Masonry Units,04 28 
Engineered Unit Masonry,04 29 
Exterior Stone Cladding,04 42 
Stone Masonry,04 43 
Flue Liner Masonry,04 51 
Combustion Chamber Masonry,04 52 
Castable Refractory Masonry,04 53 
Refractory Brick Masonry,04 54 
Masonry Fireplaces,04 57 
Chemical-Resistant Brick Masonry,04 61 
Vitrified Clay Liner Plate,04 62 
Manufactured Brick Masonry,04 71 
Cast Stone Masonry,04 72 
Manufactured Stone Masonry,04 73 
Structural Steel Framing,05 12 
Structural Stainless-Steel Framing,05 13 
Structural Aluminum Framing,05 14 
Wire Rope Assemblies,05 15 
Structural Cabling,05 16 
Structural Rod Assemblies,05 17 
Tension Rod and Cable Truss Assemblies,05 19 
Steel Joist Framing,05 21 
Aluminum Joist Framing,05 25 
Steel Decking,05 31 
Aluminum Decking,05 33 
Acoustical Metal Decking,05 34 
Raceway Decking Assemblies,05 35 
Composite Metal Decking,05 36 
Structural Metal Stud Framing,05 41 
Cold-Formed Metal Joist Framing,05 42 
Slotted Channel Framing,05 43 
Cold-Formed Metal Trusses,05 44 
Metal Support Assemblies,05 45 
Metal Stairs,05 51 
Metal Railings,05 52 
Metal Gratings,05 53 
Metal Floor Plates,05 54 
Metal Stair Treads and Nosings,05 55 
Metal Castings,05 56 
Formed Metal Fabrications,05 58 
Metal Specialties,05 59 
Decorative Metal Stairs,05 71 
Decorative Metal Railings,05 73 
Decorative Metal Castings,05 74 
Decorative Formed Metal,05 75 
Decorative Forged Metal,05 76 
Decorative Extruded Metal,05 77 
Wood Framing,06 11 
Structural Panels,06 12 
Heavy Timber Construction,06 13 
Treated Wood Foundations,06 14 
Wood Decking,06 15 
Sheathing,06 16 
Shop-Fabricated Structural Wood,06 17 
Glued-Laminated Construction,06 18 
Millwork,06 22 
Prefinished Paneling,06 25 
Board Paneling,06 26 
Architectural Wood Casework,06 41 
Wood Paneling,06 42 
Wood Stairs and Railings,06 43 
Ornamental Woodwork,06 44 
Wood Trim,06 46 
Wood Frames,06 48 
Wood Screens and Shutters,06 49 
Structural Plastic Shapes and Plates,06 51 
Plastic Structural Assemblies,06 52 
Plastic Decking,06 53 
Cast Polymer Fabrications,06 61 
Plastic Foam Fabrications,06 62  
Plastic Railings,06 63 
Plastic Trim,06 65 
Custom Ornamental Simulated Woodwork,06 66 
Structural Composite Shapes and Plates,06 71 
Composite Structural Assemblies,06 72 
Composite Decking,06 73 
Composite Gratings,06 74 
Composite Railings,06 81 
Composite Trim,06 82 
Composite Paneling,06 83 
Dampproofing,07 11 
Built-Up Bituminous Waterproofing,07 12 
Sheet Waterproofing,07 13 
Fluid-Applied Waterproofing,07 14 
Sheet Metal Waterproofing,07 15 
Cementitious and Reactive Waterproofing,07 16 
Bentonite Waterproofing,07 17 
Traffic Coatings,07 18 
Water Repellents,07 19 
Thermal Insulation,07 21 
Roof and Deck Insulation,07 22 
Exterior Insulation and Finish Systems,07 24 
Vapor Retarders,07 26 
Air Barriers,07 27 
Shingles and Shakes,07 31 
Roof Tiles,07 32 
Natural Roof Coverings,07 33 
Roof Panels,07 41 
Wall Panels,07 42 
Faced Panels,07 44 
Siding,07 46 
Built-Up Bituminous Roofing,07 51 
Modified Bituminous Membrane Roofing,07 52 
Elastomeric Membrane Roofing,07 53 
Thermoplastic Membrane Roofing,07 54 
Protected Membrane Roofing,07 55 
Fluid-Applied Roofing,07 56 
Coated Foamed Roofing,07 57 
Roll Roofing,07 58 
Sheet Metal Roofing,07 61 
Sheet Metal Flashing and Trim,07 62 
Sheet Metal Roofing Specialties,07 63 
Sheet Metal Wall Cladding,07 64 
Flexible Flashing,07 65 
Roof Specialties,07 71 
Roof Accessories,07 72 
Roof Pavers,07 76 
Wall Specialties,07 77 
Applied Fireproofing,07 81 
Board Fireproofing,07 82 
Firestopping,07 84 
Smoke Seals,07 86 
Smoke Containment Barriers,07 87 
Preformed Joint Seals,07 91 
Joint Sealants,07 92 
Expansion Control,07 95 
Metal Doors and Frames,08 11 
Metal Frames,08 12 
Metal Doors,08 13 
Wood Doors,08 14 
Plastic Doors,08 15 
Composite Doors,08 16 
Integrated Door Opening Assemblies,08 17 
Glass Doors,08 18 
Access Doors and Panels,08 31 
Coiling Doors and Grilles,08 33 
Special Function Doors,08 34 
Folding Doors and Grilles,08 35 
Panel Doors,08 36 
Traffic Doors,08 38 
Pressure-Resistant Doors,08 39 
Entrances and Storefronts,08 41 
Entrances,08 42 
Storefronts,08 43 
Curtain Wall and Glazed Assemblies,08 44 
Translucent Wall and Roof Assemblies,08 45 
Window Wall Assemblies,08 46 
Metal Windows,08 51 
Wood Windows,08 52 
Plastic Windows,08 53 
Composite Windows,08 54 
Pressure-Resistant Windows,08 55 
Special Function Windows,08 56 
Roof Windows,08 61 
Unit Skylights,08 62 
Metal-Framed Skylights,08 63 
Plastic-Framed Skylights,08 64 
Glazed Canopies,08 65 
Skylight Protection and Screens,08 67 
Door Hardware,08 71 
Non-Integrated Access Control Hardware,08 74 
Window Hardware,08 75 
Special Function Hardware,08 78 
Hardware Accessories,08 79 
Glass Glazing,08 81 
Mirrors,08 83 
Plastic Glazing,08 84 
Glazing Accessories,08 85 
Glazing Surface Films,08 87 
Special Function Glazing,08 88 
Louvers,08 91 
Louvered Equipment Enclosures,08 92 
Vents,08 95 
Plaster and Gypsum Board Assemblies,09 21 
Supports for Plaster and Gypsum Board,09 22 
Gypsum Plastering,09 23 
Cement Plastering,09 24 
Other Plastering,09 25 
Veneer Plastering,09 26 
Plaster Fabrications,09 27 
Backing Boards and Underlayments,09 28 
Gypsum Board,09 29 
Tiling,09 30 
Thin-Set Tiling,09 31 
Mortar-Bed Tiling,09 32 
Conductive Tiling,09 33 
Waterproofing-Membrane Tiling,09 34 
Chemical-Resistant Tiling,09 35 
Acoustical Ceilings,09 51 
Acoustical Ceiling Suspension Assemblies,09 53 
Specialty Ceilings,09 54 
Textured Ceilings,09 56 
Special Function Ceilings,09 57 
Integrated Ceiling Assemblies,09 58 
Flooring Treatment,09 61 
Specialty Flooring,09 62 
Masonry Flooring,09 63 
Wood Flooring,09 64 
Resilient Flooring,09 65 
Terrazzo Flooring,09 66 
Fluid-Applied Flooring,09 67 
Carpeting,09 68 
Access Flooring,09 69 
Wall Coverings,09 72 
Wall Carpeting,09 73 
Flexible Wood Sheets,09 74 
Stone Facing,09 75 
Plastic Blocks,09 76 
Special Wall Surfacing,09 77 
Interior Wall Paneling,09 78 
Acoustic Insulation,09 81 
Acoustic Finishes,09 83 
Acoustic Room Components,09 84 
Painting,09 91 
Staining and Transparent Finishing,09 93 
Decorative Finishing,09 94 
High-Performance Coatings,09 96 
Special Coatings,09 97 
Clearing and Grubbing,31 11 
Selective Clearing,31 12 
Selective Tree and Shrub Removal and Trimming,31 13 
Earth Stripping and Stockpiling,31 14 
Off-Gassing Mitigation,31 21 
Grading,31 22 
Excavation and Fill,31 23 
Embankments,31 24 
Erosion and Sedimentation Controls,31 25 
Soil Treatment,31 31 
Soil Stabilization,31 32 
Rock Stabilization,31 33 
Soil Reinforcement,31 34 
Slope Protection,31 35 
Gabions,31 36 
Riprap,31 37 
Shoring,31 41 
Concrete Raising,31 43 
Vibroflotation and Densification,31 45 
Needle Beams,31 46 
Underpinning,31 48 
Anchor Tiebacks,31 51 
Cofferdams,31 52 
Cribbing and Walers,31 53 
Ground Freezing,31 54 
Slurry Walls,31 56 
Driven Piles,31 62 
Bored Piles,31 63 
Caissons,31 64 
Special Foundations,31 66 
Foundation Anchors,31 68 
Tunnel Excavation,31 71 
Tunnel Support Systems,31 72 
Tunnel Grouting,31 73 
Tunnel Construction,31 74 
Shaft Construction,31 75 
Submersible Tube Tunnels,31 77 
Base Courses,32 11 
Flexible Paving,32 12 
Rigid Paving,32 13 
Unit Paving,32 14 
Aggregate Surfacing,32 15 
"Curbs, Gutters, Sidewalks, and Driveways",32 16 
Paving Specialties,32 17 
Athletic and Recreational Surfacing,32 18 
Fences and Gates,32 31 
Retaining Walls,32 32 
Site Furnishings,32 33 
Fabricated Bridges,32 34 
Screening Devices,32 35 
Manufactured Site Specialties,32 39 
Constructed Wetlands,32 71 
Wetlands Restoration,32 72 
Irrigation Components,32 81 
Irrigation Pumps,32 82 
Planting Irrigation,32 84 
Agricultural Irrigation,32 86 
Planting Preparation,32 91 
Turf and Grasses,32 92 
Plants,32 93 
Planting Accessories,32 94 
Exterior Planting Support Structures,32 95 
Transplanting,32 96 
Structural Cast-in-Place Concrete Forming,03 11 13
Architectural Cast-in Place Concrete Forming,03 11 16
Insulating Concrete Forming,03 11 19
Permanent Stair Forming,03 11 23
Permanent Tier Forming,03 11 26
Waterstops,03 15 13
Concrete Construction Joints,03 15 16
Cast-In Concrete Anchors,03 15 19
Termite Barrier,03 15 21
Plain Steel Reinforcement Bars,03 21 11
Galvanized Reinforcement Steel Bars,03 21 13
Epoxy-Coated Reinforcement Steel Bars,03 21 16
Stainless Steel Reinforcement Bars,03 21 19
Composite Reinforcement Bars,03 21 21
Galvanized Welded Wire Fabric Reinforcing,03 22 13
Epoxy-Coated Welded Wire Fabric Reinforcing,03 22 16
Composite Grid Reinforcing,03 22 19
Glass Fiber-Reinforced Polymer Reinforcing,03 25 13
Organic Fiber-Reinforced Polymer Reinforcing,03 25 16
Carbon Fiber-Reinforced Polymer Reinforcing,03 25 19
Miscellaneous Cast-in-Place Concrete,03 30 53
Heavyweight Structural Concrete,03 31 13
Lightweight Structural Concrete,03 31 16
Shrinkage-Compensating Structural Concrete,03 31 19
High-Performance Structural Concrete,03 31 23
Ultra High-Performance Structural Concrete,03 31 24
Self-Compacting Concrete,03 31 26
Heavyweight Architectural Concrete,03 33 13
Lightweight Architectural Concrete,03 33 16
High-Tolerance Concrete Floor Finishing,03 35 13
Heavy-Duty Concrete Floor Finishing,03 35 16
Colored Concrete Finishing,03 35 19
Exposed Aggregate Concrete Finishing,03 35 23
Grooved Concrete Surface Finishing,03 35 26
Tooled Concrete Finishing,03 35 29
Stamped Concrete Finishing,03 35 33
Polished Concrete Finishing,03 35 43
Concrete Topical Treatments,03 35 46
Shotcrete,03 37 13
Pumped Concrete,03 37 16
Pneumatically Placed Concrete,03 37 19
Roller-Compacted Concrete,03 37 23
Underwater Placed Concrete,03 37 26
Post-Tensioned Concrete Preparation,03 38 13
Unbonded Post-Tensioned Concrete,03 38 16
Bonded Post-Tensioned Concrete,03 38 19
Water Concrete Curing,03 39 13
Sand Concrete Curing,03 39 16
Membrane Concrete Curing,03 39 23
Precast Concrete Hollow Core Planks,03 41 13
Precast Concrete Slabs,03 41 16
Precast Concrete Stairs,03 41 23
Precast Structural Pretensioned Concrete,03 41 33
Precast Structural Post-Tensioned Concrete,03 41 36
Faced Architectural Precast Concrete,03 45 13
Precast Architectural Pretensioned Concrete,03 45 33
Precast Architectural Post-Tensioned Concrete,03 45 36
Tilt-Up Concrete,03 47 13
Lift-Slab Concrete,03 47 16
Precast Concrete Bollards,03 48 13
Precast Concrete Splash Blocks,03 48 16
Precast Concrete Stair Treads,03 48 19
Precast Concrete Parking Bumpers,03 48 26
Precast Pre-Framed Concrete Panels,03 48 33
Precast Concrete Trim,03 48 43
Glass-Fiber-Reinforced Concrete Column Covers,03 49 13
Glass-Fiber-Reinforced Concrete Spandrels,03 49 16
Glass-Fiber-Reinforced Concrete Trim,03 49 43
Cementitious Wood Fiber Decks,03 51 13
Gypsum Concrete Roof Decks,03 51 16
Composite Concrete Roof Insulation,03 52 13
Lightweight Insulating Concrete,03 52 16
Emery-Aggregate Concrete Topping,03 53 13
Iron-Aggregate Concrete Topping,03 53 16
Concrete Overlayment,03 53 19
Gypsum Cement Underlayment,03 54 13
Hydraulic Cement Underlayment,03 54 16
Dry-Pack Grouting,03 61 13
Non-Metallic Non-Shrink Grouting,03 62 13
Metallic Non-Shrink Grouting,03 62 16
Epoxy Injection Grouting,03 64 23
Flat Concrete Sawing,03 81 13
Track Mounted Concrete Wall Sawing,03 81 16
Wire Concrete Wall Sawing,03 81 19
Hand Concrete Wall Sawing,03 81 23
Chain Concrete Wall Sawing,03 81 26
Concrete Core Drilling,03 82 13
Selective Demolition for Masonry,04 05 05
Masonry Mortaring,04 05 13
Masonry Grouting,04 05 16
Masonry Anchorage and Reinforcing,04 05 19
Masonry Strengthening,04 05 21
Masonry Accessories,04 05 23
Brick Masonry,04 21 13
Ceramic Glazed Clay Masonry,04 21 16
Clay Tile Masonry,04 21 19
Structural Clay Tile Masonry,04 21 23
Glazed Structural Clay Tile Masonry,04 21 26
Terra Cotta Masonry,04 21 29
Insulated Concrete Unit Masonry,04 22 19
Architectural Concrete Unit Masonry,04 22 23
Autoclaved Aerated Concrete Unit Masonry,04 22 26
Interlocking Concrete Unit Masonry,04 22 33
Vertical Glass Unit Masonry,04 23 13
Glass Unit Masonry Floors,04 23 16
Glass Unit Masonry Skylights,04 23 19
Site-Cast Adobe Unit Masonry,04 24 13
Manufactured Adobe Unit Masonry,04 24 16
Metal-Supported Unit Masonry Panels,04 25 13
Masonry Veneer,04 26 13
Composite Unit Masonry,04 27 13
Cavity Wall Unit Masonry,04 27 23
"Dry-Stacked, Concrete-Filled Masonry Units",04 28 13
"Mortar-Set, Concrete-Filled Masonry Units",04 28 23
Dry-Placed Stone,04 41 
Masonry-Supported Stone Cladding,04 42 13
Steel-Stud-Supported Stone Cladding,04 42 16
Strongback-Frame-Supported Stone Cladding,04 42 19
Truss-Supported Stone Cladding,04 42 23
Grid-System-Supported Stone Cladding,04 42 26
Stone Panels for Curtain Walls,04 42 43
Stone Masonry Veneer,04 43 13
Stone Fabrications,04 43 16
Modular Masonry Fireplaces,04 57 33
Calcium Silicate Manufactured Brick Masonry,04 71 13
Calcium Silicate Manufactured Stone Masonry,04 73 13
Lightweight Synthetic Stone,04 73 23
Architecturally-Exposed Structural Steel Framing,05 12 13
Fabricated Fireproofed Steel Columns,05 12 16
Buckling Restrained Braces,05 12 19
Structural Steel for Buildings,05 12 23
Structural Steel for Bridges,05 12 33
Architecturally-Exposed Structural Aluminum Framing,05 14 13
Aluminum Wire Rope Assemblies,05 15 13
Steel Wire Rope Assemblies,05 15 16
Stainless-Steel Wire Rope Assemblies,05 15 19
Cable Bow Truss Assemblies,05 16 13
Bridge Cabling,05 16 33
Façade Support Truss Assemblies,05 19 13
Canopy Support Truss Assemblies,05 19 19
Deep Longspan Steel Joist Framing,05 21 13
Longspan Steel Joist Framing,05 21 16
Open Web Steel Joist Framing,05 21 19
Steel Joist Girder Framing,05 21 23
Steel Floor Decking,05 31 13
Steel Roof Decking,05 31 23
Steel Form Decking,05 31 33
Aluminum Floor Decking,05 33 13
Aluminum Roof Decking,05 33 23
Composite Steel Plate and Elastomer Decking,05 36 13
Cold-Formed Metal Floor Joist Framing,05 42 13
Cold-Formed Metal Roof Joist Framing,05 42 23
Cold-Formed Metal Roof Trusses,05 44 13
Mechanical Metal Supports,05 45 13
Electrical Metal Supports,05 45 16
Communications Metal Supports,05 45 19
Healthcare Metal Supports,05 45 23
Metal Pan Stairs,05 51 13
Metal Floor Plate Stairs,05 51 16
Alternating Tread Stairs,05 51 17
Metal Grating Stairs,05 51 19
Metal Fire Escapes,05 51 23
Metal Ladders,05 51 33
Metal Walkways,05 51 36
Pipe and Tube Railings,05 52 13
Bar Gratings,05 53 13
Plank Gratings,05 53 16
Expanded Metal Gratings,05 53 19
Metal Stair Treads,05 55 13
Metal Stair Nosings,05 55 16
Column Covers,05 58 13
Formed Metal Enclosures,05 58 16
Heating/Cooling Unit Covers,05 58 19
Formed Metal Guards,05 58 23
Metal Balconies,05 59 13
Detention Enclosures,05 59 63
Fabricated Metal Spiral Stairs,05 71 13
Glazed Decorative Metal Railings,05 73 13
Wire Rope Decorative Metal Railings,05 73 16
Miscellaneous Rough Carpentry,06 10 53
Exterior Rough Carpentry,06 10 63
Engineered Wood Products,06 11 13
Mechanically Graded Lumber,06 11 16
Cementitious Reinforced Panels,06 12 13
Stressed Skin Panels,06 12 16
Log Construction,06 13 13
Pole Construction,06 13 16
Heavy Timber Framing,06 13 23
Heavy Timber Trusses,06 13 26
Heavy Timber Pier Construction,06 13 33
Wood Floor Decking,06 15 13
Wood Roof Decking,06 15 16
Timber Decking,06 15 19
Laminated Wood Decking,06 15 23
Wood Patio Decking,06 15 33
Insulating Sheathing,06 16 13
Subflooring,06 16 23
Underlayment,06 16 26
Wood Board Sheathing,06 16 33
Wood Panel Product Sheathing,06 16 36
Gypsum Sheathing,06 16 43
Moisture-Resistant Sheathing Board,06 16 53
Cementitious Sheathing,06 16 63
Laminated Veneer Lumber,06 17 13
Cross-Laminated Timber,06 17 19
Dowel-Laminated Timber,06 17 21
Parallel Strand Lumber,06 17 23
Wood I-Joists,06 17 33
Metal-Web Wood Joists,06 17 36
Rim Boards,06 17 43
Shop-Fabricated Wood Trusses,06 17 53
Glued-Laminated Beams,06 18 13
Glued-Laminated Columns,06 18 16
Exterior Finish Carpentry,06 20 13
Interior Finish Carpentry,06 20 23
Standard Pattern Wood Trim,06 22 13
Prefinished Hardboard Paneling,06 25 13
Prefinished Plywood Paneling,06 25 16
Profile Board Paneling,06 26 13
Exterior Architectural Woodwork,06 40 13
Interior Architectural Woodwork,06 40 23
Wood-Veneer-Faced Architectural Cabinets,06 41 13
Plastic-Laminate-Clad Architectural Cabinets,06 41 16
Cabinet and Drawer Hardware,06 41 93
Wood Board Paneling,06 42 13
Stile and Rail Wood Paneling,06 42 14
Flush Wood Paneling,06 42 16
Plastic-Laminate-Faced Wood Paneling,06 42 19
Wood Stairs,06 43 13
Wood Railings,06 43 16
Wood Turnings,06 44 13
Wood Pilasters,06 44 16
Wood Grilles,06 44 19
Wood Corbels,06 44 23
Wood Cupolas,06 44 26
Wood Finials,06 44 29
Wood Mantels,06 44 33
Wood Pediment Heads,06 44 36
Wood Posts and Columns,06 44 39
Wood Door and Window Casings,06 46 13
Wood Aprons,06 46 16
Wood Base and Shoe Moldings,06 46 19
Wood Chair Rails,06 46 23
Wood Cornices,06 46 26
Wood Fasciae and Soffits,06 46 29
"Wood Stops, Stools, and Sills",06 46 33
Splicing of Wooden Components,06 46 91
Exterior Wood Door Frames,06 48 13
Interior Wood Door Frames,06 48 16
Ornamental Wood Frames,06 48 19
Stick-Built Wood Windows,06 48 23
Wood-Veneer Frames,06 48 26
Wood Screens,06 49 13
Wood Blinds,06 49 16
Wood Shutters,06 49 19
Plastic Lumber,06 51 13
Solid Plastic Decking,06 53 13
Simulated Stone Fabrications,06 61 13
Solid Surfacing Fabrications,06 61 16
Plastic Paneling,06 64 
Plastic Lattice Paneling,06 64 13
Composite Lumber,06 71 13
Composite Joist Assemblies,06 72 13
Composite Stair Assemblies,06 72 23
Composite Structural Decking,06 73 13
Fiberglass Reinforced Gratings,06 74 13
Glass-Fiber-Reinforced Plastic Railings,06 81 13
Resin Composite Paneling,06 83 13
Fiberglass Reinforced Paneling,06 83 16
Bituminous Dampproofing,07 11 13
Cementitious Dampproofing,07 11 16
Sheet Dampproofing,07 11 19
Built-Up Asphalt Waterproofing,07 12 13
Built-Up Coal Tar Waterproofing,07 12 16
Bituminous Sheet Waterproofing,07 13 13
Self-Adhering Sheet Waterproofing,07 13 26
Modified Bituminous Sheet Waterproofing,07 13 52
Elastomeric Sheet Waterproofing,07 13 53
